Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
Germany	Solar	29	scenario1	1	0.0
Germany	Solar	30	scenario1	1	0.0
Germany	Solar	31	scenario1	1	0.0
Germany	Solar	32	scenario1	1	0.0
Germany	Solar	33	scenario1	1	0.0
Germany	Solar	34	scenario1	1	0.0
Germany	Solar	35	scenario1	1	0.0
Germany	Solar	36	scenario1	1	0.0
Germany	Solar	37	scenario1	1	0.0
Germany	Solar	38	scenario1	1	0.0
Germany	Solar	39	scenario1	1	0.0
Germany	Solar	40	scenario1	1	0.036
Germany	Solar	41	scenario1	1	0.116
Germany	Solar	42	scenario1	1	0.226
Germany	Solar	43	scenario1	1	0.308
Germany	Solar	44	scenario1	1	0.363
Germany	Solar	45	scenario1	1	0.387
Germany	Solar	46	scenario1	1	0.388
Germany	Solar	47	scenario1	1	0.37
Germany	Solar	48	scenario1	1	0.326
Denmark	Solar	25	scenario1	1	0.189
Denmark	Solar	26	scenario1	1	0.119
Denmark	Solar	27	scenario1	1	0.058
Denmark	Solar	28	scenario1	1	0.015
Denmark	Solar	29	scenario1	1	0.0
Denmark	Solar	30	scenario1	1	0.0
Denmark	Solar	31	scenario1	1	0.0
Denmark	Solar	32	scenario1	1	0.0
Denmark	Solar	33	scenario1	1	0.0
Denmark	Solar	34	scenario1	1	0.0
Denmark	Solar	35	scenario1	1	0.0
Denmark	Solar	36	scenario1	1	0.0
Denmark	Solar	37	scenario1	1	0.0
Denmark	Solar	38	scenario1	1	0.0
Denmark	Solar	39	scenario1	1	0.016
Denmark	Solar	40	scenario1	1	0.117
Denmark	Solar	41	scenario1	1	0.24
Denmark	Solar	42	scenario1	1	0.361
Denmark	Solar	43	scenario1	1	0.44
Denmark	Solar	44	scenario1	1	0.472
Denmark	Solar	45	scenario1	1	0.496
Denmark	Solar	46	scenario1	1	0.485
Denmark	Solar	47	scenario1	1	0.432
Denmark	Solar	48	scenario1	1	0.366
France	Solar	25	scenario1	1	0.488
France	Solar	26	scenario1	1	0.366
France	Solar	27	scenario1	1	0.227
France	Solar	28	scenario1	1	0.09
France	Solar	29	scenario1	1	0.007
France	Solar	30	scenario1	1	0.0
France	Solar	31	scenario1	1	0.0
France	Solar	32	scenario1	1	0.0
France	Solar	33	scenario1	1	0.0
France	Solar	34	scenario1	1	0.0
France	Solar	35	scenario1	1	0.0
France	Solar	36	scenario1	1	0.0
France	Solar	37	scenario1	1	0.0
France	Solar	38	scenario1	1	0.0
France	Solar	39	scenario1	1	0.0
France	Solar	40	scenario1	1	0.035
France	Solar	41	scenario1	1	0.169
France	Solar	42	scenario1	1	0.336
France	Solar	43	scenario1	1	0.481
France	Solar	44	scenario1	1	0.585
France	Solar	45	scenario1	1	0.644
France	Solar	46	scenario1	1	0.664
France	Solar	47	scenario1	1	0.654
France	Solar	48	scenario1	1	0.601
Germany	Windonshore	25	scenario1	1	0.1348
Germany	Windonshore	26	scenario1	1	0.1382
Germany	Windonshore	27	scenario1	1	0.1266
Germany	Windonshore	28	scenario1	1	0.1044
Germany	Windonshore	29	scenario1	1	0.1083
Germany	Windonshore	30	scenario1	1	0.1133
Germany	Windonshore	31	scenario1	1	0.1153
Germany	Windonshore	32	scenario1	1	0.1183
Germany	Windonshore	33	scenario1	1	0.1205
Germany	Windonshore	34	scenario1	1	0.1214
Germany	Windonshore	35	scenario1	1	0.1249
Germany	Windonshore	36	scenario1	1	0.1261
Germany	Windonshore	37	scenario1	1	0.1307
Germany	Windonshore	38	scenario1	1	0.1352
Germany	Windonshore	39	scenario1	1	0.1371
Germany	Windonshore	40	scenario1	1	0.1417
Germany	Windonshore	41	scenario1	1	0.1916
Germany	Windonshore	42	scenario1	1	0.2436
Germany	Windonshore	43	scenario1	1	0.2655
Germany	Windonshore	44	scenario1	1	0.2699
Germany	Windonshore	45	scenario1	1	0.2634
Germany	Windonshore	46	scenario1	1	0.2555
Germany	Windonshore	47	scenario1	1	0.2496
Germany	Windonshore	48	scenario1	1	0.2471
Denmark	Windonshore	25	scenario1	1	0.1317
Denmark	Windonshore	26	scenario1	1	0.1415
Denmark	Windonshore	27	scenario1	1	0.1521
Denmark	Windonshore	28	scenario1	1	0.163
Denmark	Windonshore	29	scenario1	1	0.1885
Denmark	Windonshore	30	scenario1	1	0.2103
Denmark	Windonshore	31	scenario1	1	0.235
Denmark	Windonshore	32	scenario1	1	0.2617
Denmark	Windonshore	33	scenario1	1	0.2865
Denmark	Windonshore	34	scenario1	1	0.2857
Denmark	Windonshore	35	scenario1	1	0.2666
Denmark	Windonshore	36	scenario1	1	0.2359
Denmark	Windonshore	37	scenario1	1	0.2142
Denmark	Windonshore	38	scenario1	1	0.2002
Denmark	Windonshore	39	scenario1	1	0.19
Denmark	Windonshore	40	scenario1	1	0.1719
Denmark	Windonshore	41	scenario1	1	0.1646
Denmark	Windonshore	42	scenario1	1	0.1668
Denmark	Windonshore	43	scenario1	1	0.1614
Denmark	Windonshore	44	scenario1	1	0.1494
Denmark	Windonshore	45	scenario1	1	0.1309
Denmark	Windonshore	46	scenario1	1	0.1142
Denmark	Windonshore	47	scenario1	1	0.1035
Denmark	Windonshore	48	scenario1	1	0.1006
France	Windonshore	25	scenario1	1	0.2548
France	Windonshore	26	scenario1	1	0.2524
France	Windonshore	27	scenario1	1	0.2456
France	Windonshore	28	scenario1	1	0.215
France	Windonshore	29	scenario1	1	0.2216
France	Windonshore	30	scenario1	1	0.2423
France	Windonshore	31	scenario1	1	0.2354
France	Windonshore	32	scenario1	1	0.2263
France	Windonshore	33	scenario1	1	0.2243
France	Windonshore	34	scenario1	1	0.2228
France	Windonshore	35	scenario1	1	0.214
France	Windonshore	36	scenario1	1	0.2042
France	Windonshore	37	scenario1	1	0.2004
France	Windonshore	38	scenario1	1	0.1979
France	Windonshore	39	scenario1	1	0.1926
France	Windonshore	40	scenario1	1	0.1783
France	Windonshore	41	scenario1	1	0.1399
France	Windonshore	42	scenario1	1	0.2042
France	Windonshore	43	scenario1	1	0.2544
France	Windonshore	44	scenario1	1	0.2701
France	Windonshore	45	scenario1	1	0.2768
France	Windonshore	46	scenario1	1	0.2811
France	Windonshore	47	scenario1	1	0.2854
France	Windonshore	48	scenario1	1	0.2907
Germany	Windoffshore	25	scenario1	1	0.4368
Germany	Windoffshore	26	scenario1	1	0.4815
Germany	Windoffshore	27	scenario1	1	0.518
Germany	Windoffshore	28	scenario1	1	0.5472
Germany	Windoffshore	29	scenario1	1	0.5676
Germany	Windoffshore	30	scenario1	1	0.5626
Germany	Windoffshore	31	scenario1	1	0.5288
Germany	Windoffshore	32	scenario1	1	0.4823
Germany	Windoffshore	33	scenario1	1	0.4176
Germany	Windoffshore	34	scenario1	1	0.3383
Germany	Windoffshore	35	scenario1	1	0.2699
Germany	Windoffshore	36	scenario1	1	0.2383
Germany	Windoffshore	37	scenario1	1	0.257
Germany	Windoffshore	38	scenario1	1	0.3064
Germany	Windoffshore	39	scenario1	1	0.3468
Germany	Windoffshore	40	scenario1	1	0.3705
Germany	Windoffshore	41	scenario1	1	0.414
Germany	Windoffshore	42	scenario1	1	0.4705
Germany	Windoffshore	43	scenario1	1	0.4914
Germany	Windoffshore	44	scenario1	1	0.4553
Germany	Windoffshore	45	scenario1	1	0.3858
Germany	Windoffshore	46	scenario1	1	0.3099
Germany	Windoffshore	47	scenario1	1	0.2474
Germany	Windoffshore	48	scenario1	1	0.2057
Denmark	Windoffshore	25	scenario1	1	0.3179
Denmark	Windoffshore	26	scenario1	1	0.34
Denmark	Windoffshore	27	scenario1	1	0.3649
Denmark	Windoffshore	28	scenario1	1	0.3897
Denmark	Windoffshore	29	scenario1	1	0.4215
Denmark	Windoffshore	30	scenario1	1	0.4356
Denmark	Windoffshore	31	scenario1	1	0.419
Denmark	Windoffshore	32	scenario1	1	0.3779
Denmark	Windoffshore	33	scenario1	1	0.3451
Denmark	Windoffshore	34	scenario1	1	0.3331
Denmark	Windoffshore	35	scenario1	1	0.3788
Denmark	Windoffshore	36	scenario1	1	0.4562
Denmark	Windoffshore	37	scenario1	1	0.4705
Denmark	Windoffshore	38	scenario1	1	0.4472
Denmark	Windoffshore	39	scenario1	1	0.4234
Denmark	Windoffshore	40	scenario1	1	0.4024
Denmark	Windoffshore	41	scenario1	1	0.3681
Denmark	Windoffshore	42	scenario1	1	0.3238
Denmark	Windoffshore	43	scenario1	1	0.2843
Denmark	Windoffshore	44	scenario1	1	0.2463
Denmark	Windoffshore	45	scenario1	1	0.215
Denmark	Windoffshore	46	scenario1	1	0.1913
Denmark	Windoffshore	47	scenario1	1	0.183
Denmark	Windoffshore	48	scenario1	1	0.1861
France	Windoffshore	25	scenario1	1	0.152
France	Windoffshore	26	scenario1	1	0.1672
France	Windoffshore	27	scenario1	1	0.2065
France	Windoffshore	28	scenario1	1	0.2467
France	Windoffshore	29	scenario1	1	0.3542
France	Windoffshore	30	scenario1	1	0.5322
France	Windoffshore	31	scenario1	1	0.6366
France	Windoffshore	32	scenario1	1	0.6417
France	Windoffshore	33	scenario1	1	0.6275
France	Windoffshore	34	scenario1	1	0.6129
France	Windoffshore	35	scenario1	1	0.5789
France	Windoffshore	36	scenario1	1	0.5565
France	Windoffshore	37	scenario1	1	0.5494
France	Windoffshore	38	scenario1	1	0.5365
France	Windoffshore	39	scenario1	1	0.5207
France	Windoffshore	40	scenario1	1	0.4902
France	Windoffshore	41	scenario1	1	0.2958
France	Windoffshore	42	scenario1	1	0.2337
France	Windoffshore	43	scenario1	1	0.3626
France	Windoffshore	44	scenario1	1	0.3584
France	Windoffshore	45	scenario1	1	0.3542
France	Windoffshore	46	scenario1	1	0.3697
France	Windoffshore	47	scenario1	1	0.3983
France	Windoffshore	48	scenario1	1	0.4405
Germany	Hydrorun-of-the-river	25	scenario1	1	0.504861132
Germany	Hydrorun-of-the-river	26	scenario1	1	0.50529271
Germany	Hydrorun-of-the-river	27	scenario1	1	0.502280386
Germany	Hydrorun-of-the-river	28	scenario1	1	0.495313242
Germany	Hydrorun-of-the-river	29	scenario1	1	0.495640195
Germany	Hydrorun-of-the-river	30	scenario1	1	0.49410221
Germany	Hydrorun-of-the-river	31	scenario1	1	0.493043755
Germany	Hydrorun-of-the-river	32	scenario1	1	0.491108195
Germany	Hydrorun-of-the-river	33	scenario1	1	0.496257482
Germany	Hydrorun-of-the-river	34	scenario1	1	0.499439821
Germany	Hydrorun-of-the-river	35	scenario1	1	0.503115641
Germany	Hydrorun-of-the-river	36	scenario1	1	0.503684103
Germany	Hydrorun-of-the-river	37	scenario1	1	0.500905441
Germany	Hydrorun-of-the-river	38	scenario1	1	0.503826218
Germany	Hydrorun-of-the-river	39	scenario1	1	0.504737326
Germany	Hydrorun-of-the-river	40	scenario1	1	0.507646769
Germany	Hydrorun-of-the-river	41	scenario1	1	0.511807351
Germany	Hydrorun-of-the-river	42	scenario1	1	0.512558906
Germany	Hydrorun-of-the-river	43	scenario1	1	0.522595917
Germany	Hydrorun-of-the-river	44	scenario1	1	0.528811505
Germany	Hydrorun-of-the-river	45	scenario1	1	0.531292858
Germany	Hydrorun-of-the-river	46	scenario1	1	0.533773339
Germany	Hydrorun-of-the-river	47	scenario1	1	0.540997685
Germany	Hydrorun-of-the-river	48	scenario1	1	0.541599278
Denmark	Hydrorun-of-the-river	25	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	26	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	27	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	28	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	29	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	30	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	31	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	32	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	33	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	34	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	35	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	36	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	37	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	38	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	39	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	40	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	41	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	42	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	43	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	44	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	45	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	46	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	47	scenario1	1	0.4
Denmark	Hydrorun-of-the-river	48	scenario1	1	0.4
France	Hydrorun-of-the-river	25	scenario1	1	0.413394066
France	Hydrorun-of-the-river	26	scenario1	1	0.431244614
France	Hydrorun-of-the-river	27	scenario1	1	0.474701465
