Node,Period,Node.1,Period.1,MaxBiomethaneAvailability_[TJ].1,Available_Biomethane_[TJ],col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
Croatia,4,Croatia,4,10930.5,10770.550640152027,,,,,,,,,,,,,,,,,,
Hungary,4,Hungary,4,60725.0,79178.38851505464,,,,,,,,,,,,,,,,,,
Ireland,4,Ireland,4,36435.0,13470.25559063633,,,,,,,,,,,,,,,,,,
Italy,4,Italy,4,234398.5,272883.63217039243,,,,,,,,,,,,,,,,,,
Lithuania,4,Lithuania,4,16395.75,32353.861792723117,,,,,,,,,,,,,,,,,,
Luxemb.,4,Luxemb.,4,3036.25,22535.99461695246,,,,,,,,,,,,,,,,,,
Latvia,4,Latvia,4,20039.25,11439.116316371437,,,,,,,,,,,,,,,,,,
Macedonia,4,Macedonia,4,19432.0,6631.462111300837,,,,,,,,,,,,,,,,,,
Netherlands,4,Netherlands,4,58903.25,92418.95716618639,,,,,,,,,,,,,,,,,,
NO1,4,NO1,4,4736.55,0.0,,,,,,,,,,,,,,,,,,
NO2,4,NO2,4,4736.55,0.0,,,,,,,,,,,,,,,,,,
NO3,4,NO3,4,4736.55,0.0,,,,,,,,,,,,,,,,,,
NO4,4,NO4,4,4736.55,0.0,,,,,,,,,,,,,,,,,,
NO5,4,NO5,4,4736.55,46.64507785522928,,,,,,,,,,,,,,,,,,
Poland,4,Poland,4,191891.0,138784.62286814273,,,,,,,,,,,,,,,,,,
Portugal,4,Portugal,4,49794.5,21979.156772546557,,,,,,,,,,,,,,,,,,
Romania,4,Romania,4,127522.5,27508.014604110067,,,,,,,,,,,,,,,,,,
Serbia,4,Serbia,4,10930.5,18898.890412839864,,,,,,,,,,,,,,,,,,
Sweden,4,Sweden,4,141489.25,43822.11062197465,,,,,,,,,,,,,,,,,,
Slovenia,4,Slovenia,4,7287.0,16029.237625199457,,,,,,,,,,,,,,,,,,
Slovakia,4,Slovakia,4,18217.5,33868.57600577465,,,,,,,,,,,,,,,,,,
Austria,5,Austria,5,76513.5,58828.85641703039,,,,,,,,,,,,,,,,,,
BosniaH,5,BosniaH,5,13966.75,12280.458394523463,,,,,,,,,,,,,,,,,,
Belgium,5,Belgium,5,30969.75,236833.9856079225,,,,,,,,,,,,,,,,,,
Bulgaria,5,Bulgaria,5,68012.0,31278.912383621868,,,,,,,,,,,,,,,,,,
Switzerland,5,Switzerland,5,21861.0,56742.01591466533,,,,,,,,,,,,,,,,,,
CzechR,5,CzechR,5,68012.0,141913.88459685317,,,,,,,,,,,,,,,,,,
Germany,5,Germany,5,450579.5,618875.0197353885,,,,,,,,,,,,,,,,,,
Denmark,5,Denmark,5,50401.75,40532.93297408333,,,,,,,,,,,,,,,,,,
Estonia,5,Estonia,5,9716.0,8633.806769640729,,,,,,,,,,,,,,,,,,
Spain,5,Spain,5,389247.25,323036.14740696625,,,,,,,,,,,,,,,,,,
Finland,5,Finland,5,113555.75,27134.162525274667,,,,,,,,,,,,,,,,,,
France,5,France,5,452401.25,291972.38089848607,,,,,,,,,,,,,,,,,,
GreatBrit.,5,GreatBrit.,5,246239.875,430595.16537835676,,,,,,,,,,,,,,,,,,
Greece,5,Greece,5,57688.75,50133.64624350519,,,,,,,,,,,,,,,,,,
Croatia,5,Croatia,5,13966.75,13956.732324788647,,,,,,,,,,,,,,,,,,
Hungary,5,Hungary,5,78942.5,107777.34912506888,,,,,,,,,,,,,,,,,,
Ireland,5,Ireland,5,46151.0,18367.557177980616,,,,,,,,,,,,,,,,,,
Italy,5,Italy,5,281156.75,354126.72083805833,,,,,,,,,,,,,,,,,,
Lithuania,5,Lithuania,5,20342.875,46518.597194910355,,,,,,,,,,,,,,,,,,
Luxemb.,5,Luxemb.,5,3947.125,33798.7386587212,,,,,,,,,,,,,,,,,,
Latvia,5,Latvia,5,28237.125,14868.223764061733,,,,,,,,,,,,,,,,,,
Macedonia,5,Macedonia,5,21861.0,9709.845644491175,,,,,,,,,,,,,,,,,,
Netherlands,5,Netherlands,5,71959.125,122082.98071545576,,,,,,,,,,,,,,,,,,
NO1,5,NO1,5,6011.775,0.0,,,,,,,,,,,,,,,,,,
NO2,5,NO2,5,6011.775,0.0,,,,,,,,,,,,,,,,,,
NO3,5,NO3,5,6011.775,0.0,,,,,,,,,,,,,,,,,,
NO4,5,NO4,5,6011.775,0.0,,,,,,,,,,,,,,,,,,
NO5,5,NO5,5,6011.775,51.14129146649652,,,,,,,,,,,,,,,,,,
Poland,5,Poland,5,247758.0,198557.27857259836,,,,,,,,,,,,,,,,,,
Portugal,5,Portugal,5,67404.75,33947.81583602285,,,,,,,,,,,,,,,,,,
Romania,5,Romania,5,166993.75,36911.5605779157,,,,,,,,,,,,,,,,,,
Serbia,5,Serbia,5,13966.75,24489.625789809874,,,,,,,,,,,,,,,,,,
Sweden,5,Sweden,5,198267.125,59116.44472941028,,,,,,,,,,,,,,,,,,
Slovenia,5,Slovenia,5,9716.0,23595.60167450502,,,,,,,,,,,,,,,,,,
Slovakia,5,Slovakia,5,24290.0,49723.722261209914,,,,,,,,,,,,,,,,,,
Austria,6,Austria,6,97160.0,84124.8,,,,,,,,,,,,,,,,,,
BosniaH,6,BosniaH,6,17003.0,20570.53627234876,,,,,,,,,,,,,,,,,,
Belgium,6,Belgium,6,36435.0,336018.60000000003,,,,,,,,,,,,,,,,,,
Bulgaria,6,Bulgaria,6,85015.0,40017.6,,,,,,,,,,,,,,,,,,
Switzerland,6,Switzerland,6,24290.0,81140.63456511765,,,,,,,,,,,,,,,,,,
CzechR,6,CzechR,6,85015.0,200082.6,,,,,,,,,,,,,,,,,,
Germany,6,Germany,6,534379.9999999999,906726.6000000001,,,,,,,,,,,,,,,,,,
Denmark,6,Denmark,6,60724.99999999999,57479.399999999994,,,,,,,,,,,,,,,,,,
Estonia,6,Estonia,6,12145.0,9028.800000000001,,,,,,,,,,,,,,,,,,
Spain,6,Spain,6,485799.99999999994,443169.0,,,,,,,,,,,,,,,,,,
Finland,6,Finland,6,145740.0,12628.799999999996,,,,,,,,,,,,,,,,,,
France,6,France,6,546525.0,397850.39999999997,,,,,,,,,,,,,,,,,,
GreatBrit.,6,GreatBrit.,6,291480.0,666561.6,,,,,,,,,,,,,,,,,,
Greece,6,Greece,6,72870.0,66058.2,,,,,,,,,,,,,,,,,,
Croatia,6,Croatia,6,17003.0,23378.399999999998,,,,,,,,,,,,,,,,,,
Hungary,6,Hungary,6,97160.0,165603.60000000003,,,,,,,,,,,,,,,,,,
Ireland,6,Ireland,6,55867.0,29764.800000000003,,,,,,,,,,,,,,,,,,
Italy,6,Italy,6,327915.0,484070.4,,,,,,,,,,,,,,,,,,
Lithuania,6,Lithuania,6,24290.0,60735.60000000001,,,,,,,,,,,,,,,,,,
Luxemb.,6,Luxemb.,6,4858.0,45223.2,,,,,,,,,,,,,,,,,,
Latvia,6,Latvia,6,36435.0,19769.4,,,,,,,,,,,,,,,,,,
Macedonia,6,Macedonia,6,24290.0,12794.100840730733,,,,,,,,,,,,,,,,,,
Netherlands,6,Netherlands,6,85015.0,195211.8,,,,,,,,,,,,,,,,,,
NO1,6,NO1,6,7287.0,0.0,,,,,,,,,,,,,,,,,,
NO2,6,NO2,6,7287.0,0.0,,,,,,,,,,,,,,,,,,
NO3,6,NO3,6,7287.0,0.0,,,,,,,,,,,,,,,,,,
NO4,6,NO4,6,7287.0,0.0,,,,,,,,,,,,,,,,,,
NO5,6,NO5,6,7287.0,0.0,,,,,,,,,,,,,,,,,,
Poland,6,Poland,6,303625.0,286119.0,,,,,,,,,,,,,,,,,,
Portugal,6,Portugal,6,85015.0,45982.799999999996,,,,,,,,,,,,,,,,,,
Romania,6,Romania,6,206465.0,46823.4,,,,,,,,,,,,,,,,,,
Serbia,6,Serbia,6,17003.0,41021.655659872464,,,,,,,,,,,,,,,,,,
Sweden,6,Sweden,6,255044.99999999997,73389.6,,,,,,,,,,,,,,,,,,
Slovenia,6,Slovenia,6,12145.0,31321.8,,,,,,,,,,,,,,,,,,
Slovakia,6,Slovakia,6,30362.499999999996,76125.6,,,,,,,,,,,,,,,,,,
Austria,7,Austria,7,97160.0,104339.57654709945,,,,,,,,,,,,,,,,,,
BosniaH,7,BosniaH,7,17003.0,24566.852837605646,,,,,,,,,,,,,,,,,,
Belgium,7,Belgium,7,36435.0,410954.2346307851,,,,,,,,,,,,,,,,,,
Bulgaria,7,Bulgaria,7,85015.0,51277.439451968756,,,,,,,,,,,,,,,,,,
Switzerland,7,Switzerland,7,24290.0,100638.33080479615,,,,,,,,,,,,,,,,,,
CzechR,7,CzechR,7,85015.0,247000.11998451364,,,,,,,,,,,,,,,,,,
Germany,7,Germany,7,534379.9999999999,1076447.428949445,,,,,,,,,,,,,,,,,,
Denmark,7,Denmark,7,60724.99999999999,69415.21003702382,,,,,,,,,,,,,,,,,,
Estonia,7,Estonia,7,12145.0,12138.790329084672,,,,,,,,,,,,,,,,,,
Spain,7,Spain,7,485799.99999999994,539596.2839923152,,,,,,,,,,,,,,,,,,
Finland,7,Finland,7,145740.0,21241.710678179043,,,,,,,,,,,,,,,,,,
France,7,France,7,546525.0,498930.99871644843,,,,,,,,,,,,,,,,,,
GreatBrit.,7,GreatBrit.,7,291480.0,805085.6494594902,,,,,,,,,,,,,,,,,,
Greece,7,Greece,7,72870.0,79984.12543947696,,,,,,,,,,,,,,,,,,
Croatia,7,Croatia,7,17003.0,27920.210964587644,,,,,,,,,,,,,,,,,,
