FromNode,ToNode,LineType
SørligeNordsjøII,Borssele,HVDC_Cable
SørligeNordsjøII,DoggerBank,HVDC_Cable
SørligeNordsjøII,EastAnglia,HVDC_Cable
SørligeNordsjøII,EnergyhubEU,HVDC_Cable
SørligeNordsjøII,FirthofForth,HVDC_Cable
SørligeNordsjøII,HelgoländerBucht,HVDC_Cable
SørligeNordsjøII,HollandseeKust,HVDC_Cable
SørligeNordsjøII,Hornsea,HVDC_Cable
SørligeNordsjøII,MorayFirth,HVDC_Cable
SørligeNordsjøII,NO2,HVDC_Cable
SørligeNordsjøII,Nordsøen,HVDC_Cable
SørligeNordsjøII,Norfolk,HVDC_Cable
SørligeNordsjøII,OuterDowsing,HVDC_Cable
SørligeNordsjøII,SørligeNordsjøI,HVDC_Cable
SørligeNordsjøII,UtsiraNord,HVDC_Cable
Spain,France,HVAC_OverheadLine
Spain,Ireland,HVDC_Cable
Spain,Portugal,HVAC_OverheadLine
Sweden,Denmark,HVDC_Cable
Sweden,Estonia,HVDC_Cable
Sweden,Finland,HVDC_Cable
Sweden,Germany,HVDC_Cable
Sweden,Latvia,HVDC_Cable
Sweden,Lithuania,HVDC_Cable
Sweden,NO1,HVAC_OverheadLine
Sweden,NO3,HVAC_OverheadLine
Sweden,NO4,HVAC_OverheadLine
Sweden,Poland,HVDC_Cable
Switzerland,Austria,HVAC_OverheadLine
Switzerland,France,HVAC_OverheadLine
Switzerland,Germany,HVAC_OverheadLine
Switzerland,Italy,HVAC_OverheadLine
UtsiraNord,Borssele,HVDC_Cable
UtsiraNord,DoggerBank,HVDC_Cable
UtsiraNord,EastAnglia,HVDC_Cable
UtsiraNord,EnergyhubEU,HVDC_Cable
UtsiraNord,FirthofForth,HVDC_Cable
UtsiraNord,HelgoländerBucht,HVDC_Cable
UtsiraNord,HollandseeKust,HVDC_Cable
UtsiraNord,Hornsea,HVDC_Cable
UtsiraNord,MorayFirth,HVDC_Cable
UtsiraNord,NO2,HVDC_Cable
UtsiraNord,Nordsøen,HVDC_Cable
UtsiraNord,Norfolk,HVDC_Cable
UtsiraNord,OuterDowsing,HVDC_Cable
UtsiraNord,SørligeNordsjøI,HVDC_Cable
UtsiraNord,SørligeNordsjøII,HVDC_Cable
