Table,Key,Value,Reason
Industry/SteelScaleFactorInitialCap.csv,Scrap|3,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,Scrap|4,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,Scrap|5,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,Scrap|6,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,Scrap|7,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-CCS|1,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-CCS|2,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-CCS|3,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-CCS|4,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-CCS|5,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-CCS|6,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-CCS|7,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,H2-Cement|1,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,H2-Cement|2,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,H2-Cement|3,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,H2-Cement|4,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,H2-Cement|5,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,H2-Cement|6,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,H2-Cement|7,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,NG-CCS-Cement|1,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,NG-CCS-Cement|2,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,NG-CCS-Cement|3,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,NG-CCS-Cement|4,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,NG-CCS-Cement|5,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,NG-CCS-Cement|6,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementScaleFactorInitialCap.csv,NG-CCS-Cement|7,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaScaleFactorInitialCap.csv,H2-Ammonia|1,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaScaleFactorInitialCap.csv,H2-Ammonia|2,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaScaleFactorInitialCap.csv,H2-Ammonia|3,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaScaleFactorInitialCap.csv,H2-Ammonia|4,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaScaleFactorInitialCap.csv,H2-Ammonia|5,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaScaleFactorInitialCap.csv,H2-Ammonia|6,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaScaleFactorInitialCap.csv,H2-Ammonia|7,0.0,InternalEMPIRE Pyomo Param default for absent source key
