Nodes,Period,col2,col3,Power,col5,col6,Electricity_[TWh],col8,Heating_(inflexible_=_x%),Industry_(100%),Transport_(inflexible_=_y%)
Switzerland,6,,,,,,,,18394637.473889433,66172523.09284145,22263679.15769864
CzechR,6,,,,,,,,10402497.641674763,52451942.77873658,17437133.37892213
Germany,6,,,,,,,,72102020.1099959,445582260.90279794,277377333.3338481
Denmark,6,,,,,,,,8710576.247445159,20440296.5134092,16790722.85009396
Estonia,6,,,,,,,,2530731.64560662,4228378.814594819,3687177.6216201438
Spain,6,,,,,,,,30243512.000000004,143037703.08273908,125713791.20519911
Finland,6,,,,,,,,12138005.652847148,64012600.17918072,16810163.88109391
France,6,,,,,,,,50228820.57602281,224127225.89669168,153154675.3601299
GreatBrit.,6,,,,,,,,46771139.98883215,165581182.9761897,147731081.145552
Greece,6,,,,,,,,4184760.358823389,16903651.934403714,21382849.757504497
Croatia,6,,,,,,,,1746318.878256117,8225606.145729818,6770641.882122044
Hungary,6,,,,,,,,7291234.94661349,22538208.12918207,20421756.17671526
Ireland,6,,,,,,,,2650375.2104438664,16802296.634981826,10227193.58043114
Italy,6,,,,,,,,53945809.399389684,207170266.4252714,106979087.09081629
Lithuania,6,,,,,,,,1901140.1996174739,8619089.527531436,17482760.433668863
Luxemb.,6,,,,,,,,857880.1233163407,5383765.029240274,3574598.086825581
Latvia,6,,,,,,,,3006477.384393027,3979111.4062214848,5257110.262093873
Macedonia,6,,,,,,,,630717.1755669827,3273886.170458388,4141413.7239541383
Netherlands,6,,,,,,,,15152293.17789146,95054988.0313446,42201667.017779075
NO1,6,,,,,,,,5498131.653284018,15654892.32987205,6621394.909657899
NO2,6,,,,,,,,3926375.922472397,11920442.63427695,5041871.672848197
NO3,6,,,,,,,,2388503.1275655897,7594633.181406375,3212226.8507798905
NO4,6,,,,,,,,1848879.141766068,5736616.947176695,2426360.108540169
NO5,6,,,,,,,,1649622.37556975,5071226.839650705,2144926.6385378037
Poland,6,,,,,,,,29742244.094177913,117365709.82099557,98514410.50467832
Portugal,6,,,,,,,,2568132.978985341,26933311.567741152,26101896.88615211
Romania,6,,,,,,,,9993191.95475205,32998962.710720617,34687945.18780438
Serbia,6,,,,,,,,1005269.8229700972,14433322.336167544,11880322.857198155
Sweden,6,,,,,,,,15449198.719401449,72962577.10371289,32656361.044515457
Slovenia,6,,,,,,,,1163940.7664219209,9553034.125643421,7540912.286243963
Slovakia,6,,,,,,,,2725341.9192372123,25008960.399333607,13612739.42385822
Austria,7,,,,,,,,7572035.602672888,68606195.90315373,23082485.93868821
BosniaH,7,,,,,,,,2493328.7718514074,7237669.369280624,5957453.650518223
Belgium,7,,,,,,,,10373169.582214002,90214041.45782927,27569328.11748993
Bulgaria,7,,,,,,,,6271606.105039288,18404600.825603854,12353840.28025984
